Country,Year,Visitors
Japan,2020,92483
Philippines,2020,4075
Singapore,2020,13907
Thailand,2020,4016
Indonesia,2020,7741
Malaysia,2020,14134
South Korea,2020,109761
USA,2020,41653
Canada,2020,17587
UK,2020,15163
France,2020,9506
Germany,2020,18808
Italy,2020,10480
Switzerland,2020,1171
Sweden,2020,1958
Russia,2020,8062
Spain,2020,3103
Australia,2020,12114
"Hong Kong, China",2020,38754
"Macao, China",2020,8304
"Taiwan, China",2020,207109
Japan,2021,69148
Philippines,2021,2501
Singapore,2021,11643
Thailand,2021,2955
Indonesia,2021,4656
Malaysia,2021,10031
South Korea,2021,90836
USA,2021,32651
Canada,2021,14699
UK,2021,11570
France,2021,7081
Germany,2021,15084
Italy,2021,6953
Switzerland,2021,876
Sweden,2021,1527
Russia,2021,5941
Spain,2021,2603
Australia,2021,8729
"Hong Kong, China",2021,32256
"Macao, China",2021,8410
"Taiwan, China",2021,180736
Japan,2022,49599
Philippines,2022,2324
Singapore,2022,9185
Thailand,2022,2460
Indonesia,2022,4501
Malaysia,2022,8455
South Korea,2022,78612
USA,2022,23064
Canada,2022,10802
UK,2022,9421
France,2022,4760
Germany,2022,10461
Italy,2022,4536
Switzerland,2022,520
Sweden,2022,822
Russia,2022,4480
Spain,2022,1695
Australia,2022,6816
"Hong Kong, China",2022,22682
"Macao, China",2022,3176
"Taiwan, China",2022,147193
Japan,2023,121309
Philippines,2023,12230
Singapore,2023,42860
Thailand,2023,17072
Indonesia,2023,25080
Malaysia,2023,56364
South Korea,2023,145062
USA,2023,82609
Canada,2023,28864
UK,2023,22211
France,2023,18141
Germany,2023,44216
Italy,2023,16307
Switzerland,2023,3452
Sweden,2023,5310
Russia,2023,31258
Spain,2023,7491
Australia,2023,30022
"Hong Kong, China",2023,137760
"Macao, China",2023,14981
"Taiwan, China",2023,305483
Japan,2024,188901
Philippines,2024,21566
Singapore,2024,88365
Thailand,2024,40545
Indonesia,2024,59137
Malaysia,2024,167530
South Korea,2024,216192
USA,2024,143409
Canada,2024,45841
UK,2024,36555
France,2024,31707
Germany,2024,64090
Italy,2024,26866
Switzerland,2024,4944
Sweden,2024,8311
Russia,2024,51585
Spain,2024,15372
Australia,2024,71270
"Hong Kong, China",2024,196162
"Macao, China",2024,19930
"Taiwan, China",2024,601695
